日付,code,name,market,33業種コード,sector,17業種コード,17業種区分,規模コード,規模区分,ticker
20260831,5974,中国工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5974.T
20260831,5975,東プレ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1,5975.T
20260831,5976,高周波熱錬,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2,5976.T
20260831,5981,東京製綱,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2,5981.T
20260831,5982,マルゼン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5982.T
20260831,5983,イワブチ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5983.T
20260831,5984,兼房,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5984.T
20260831,5985,サンコール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2,5985.T
20260831,5986,モリテック　スチール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5986.T
20260831,5987,オーネックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5987.T
20260831,5988,パイオラックス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1,5988.T
20260831,5989,エイチワン,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2,5989.T
20260831,5990,スーパーツール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5990.T
20260831,5991,日本発條,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400,5991.T
20260831,5992,中央発條,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2,5992.T
20260831,5994,ファインシンター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5994.T
20260831,5997,協立エアテック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5997.T
20260831,5998,アドバネクス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-,5998.T
20260831,6005,三浦工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6005.T
20260831,6013,タクマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6013.T
20260831,6016,ジャパンエンジンコーポレーション,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-,6016.T
20260831,6018,阪神内燃機工業,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-,6018.T
20260831,6022,赤阪鐵工所,スタンダード（内国株式）,3600,機械,8,機械,-,-,6022.T
20260831,6023,ダイハツインフィニアース,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-,6023.T
20260831,6027,弁護士ドットコム,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6027.T
20260831,6029,アトラグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6029.T
20260831,6030,アドベンチャー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6030.T
20260831,6031,ＺＥＴＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6031.T
20260831,6033,エクストリーム,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6033.T
20260831,6034,ＭＲＴ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6034.T
20260831,6035,アイ・アールジャパンホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6035.T
20260831,6036,ＫｅｅＰｅｒ技研,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1,6036.T
20260831,6037,楽待,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6037.T
20260831,6038,イード,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6038.T
20260831,6039,日本動物高度医療センター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6039.T
20260831,6040,日本スキー場開発,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6040.T
20260831,6042,ニッキ,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-,6042.T
20260831,6044,三機サービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6044.T
20260831,6045,レントラックス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6045.T
20260831,6046,リンクバル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6046.T
20260831,6047,Ｇｕｎｏｓｙ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6047.T
20260831,6049,イトクロ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6049.T
20260831,6050,イー・ガーディアン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6050.T
20260831,6054,リブセンス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6054.T
20260831,6055,ジャパンマテリアル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1,6055.T
20260831,6058,ベクトル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6058.T
20260831,6059,ウチヤマホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6059.T
20260831,6061,ユニバーサル園芸社,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6061.T
20260831,6062,チャーム・ケア・コーポレーション,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6062.T
20260831,6063,日本エマージェンシーアシスタンス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6063.T
20260831,6069,トレンダーズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6069.T
20260831,6070,キャリアリンク,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6070.T
20260831,6071,ＩＢＪ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6071.T
20260831,6072,地盤ネットホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6072.T
20260831,6073,アサンテ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6073.T
20260831,6074,ジェイエスエス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6074.T
20260831,6078,バリューＨＲ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6078.T
20260831,6080,Ｍ＆Ａキャピタルパートナーズ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1,6080.T
20260831,6081,アライドアーキテクツ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6081.T
20260831,6082,ライドオンエクスプレスホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6082.T
20260831,6083,ＥＲＩホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6083.T
20260831,6085,アーキテクツ・スタジオ・ジャパン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6085.T
20260831,6086,シンメンテホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6086.T
20260831,6087,アビスト,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6087.T
20260831,6088,シグマクシス・ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1,6088.T
20260831,6089,ウィルグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2,6089.T
20260831,6090,ヒューマン・メタボローム・テクノロジーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6090.T
20260831,6091,ウエスコホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6091.T
20260831,6092,エンバイオ・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6092.T
20260831,6093,ミトラグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6093.T
20260831,6094,フリークアウト・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-,6094.T
