銘柄コード,銘柄名,現在株価,時価総額(億円),PER,PBR,自己資本比率(%),流動資産,負債合計,投資有価証券,発行済株式数,Netキャッシュ,1株ネットキャッシュ,ネットキャッシュ比率,乖離率(%),欠損項目,エラー
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,179.0,159.0540288,7.8439965,1.4303409,70.12153777892648,11519860000.0,4758221000.0,1027903000.0,88857000.0,7005349000.0,78.83845954736262,0.4404383214936459,-55.95616785063541,,
1443.T,技研ホールディングス,280.0,45.45502208,7.4074078,0.34898272,70.70729216931431,3573213000.0,5353576000.0,8473102000.0,16233937.0,3615450800.0,222.7094265550002,0.7953908091250007,-20.46091908749993,,
1438.T,岐阜造園,2283.0,74.20236288,14.837201,1.6469948,71.74932608629038,3861351000.0,1631853000.0,369608000.0,3250213.0,2325038299.9999995,715.3495170931873,0.3133375020119086,-68.66624979880915,,
1446.T,キャンディル,537.0,50.00866304,19.456522,1.5888984,47.14734524375009,3937226000.0,3320208000.0,80428000.0,9312600.0,341296799.9999995,36.64892725984146,0.06824753679672525,-93.17524632032747,,
1450.T,ＴＡＮＡＫＥＮ,1467.0,127.61066496,8.4959755,1.3833138,76.5717803347861,10628257000.0,2853239000.0,398909000.0,8698750.0,7768930400.0,893.1088259807443,0.6087994723795122,-39.120052762048786,,
1452.T,横浜ライト工業,18530.0,,6.876818,0.9063795,,0.0,0.0,0.0,49973.0,0.0,0.0,0.0,-100.0,"流動資産, 負債合計, 投資有価証券",
1491.T,中外鉱業,710.0,102.024704,6.752259,1.2261844,53.310407518565405,13258979000.0,8203635000.0,110071000.0,14369676.0,4312030200.0,300.0784568837878,0.4226457139208279,-57.735428607917214,,
1447.T,ＳＡＡＦホールディングス,418.0,101.79245056,22.175066,9.36296,15.122854374670691,10339973000.0,14572165000.0,1248690000.0,24352260.0,-4815325500.000002,-197.73628813095794,-0.4730533208874592,-147.30533208874593,,
1515.T,日鉄鉱業,3360.0,2643.71224576,18.83197,1.6464584,53.999523214308724,130871000000.0,142791000000.0,49870000000.0,78681909.0,8709900000.0,110.69761919477577,0.03294571999844517,-96.7054280001555,,
1514.T,住石ホールディングス,672.0,391.56031488,15.245008,1.433912,90.55326022801404,22945000000.0,3041000000.0,4252000000.0,58267904.0,22576300000.0,387.45687505766466,0.5765727307405724,-42.342726925942756,,
1518.T,三井松島ホールディングス,2289.0,847.57004288,15.4318075,1.4630181,43.619108668631426,74393000000.0,72123000000.0,21397000000.0,37027960.0,10035600000.0,271.0276234499551,0.11840437896459376,-88.15956210354062,,
1605.T,ＩＮＰＥＸ,3780.0,43931.91604224,10.21456,0.8609762,64.93567456191813,1109093000000.0,2712295000000.0,116765000000.0,1162220005.0,-1792696000000.0,-1542.4756003920272,-0.40806232814603893,-140.8062328146039,,
1663.T,Ｋ＆Ｏエナジーグループ,1977.0,1056.15040512,14.409621,0.957048,85.21831685880429,53083000000.0,18887000000.0,20045000000.0,53421872.0,46338800000.0,867.412508494648,0.43875190111009005,-56.12480988899099,,
1662.T,石油資源開発,1875.0,4799.98672896,8.984618,0.8116008,76.39616450427262,155359000000.0,203576000000.0,274024000000.0,255999291.0,123242199999.99997,481.41617704714645,0.2567552944251448,-74.32447055748553,,
1717.T,明豊ファシリティワークス,939.0,110.41378304,11.833649,1.892592,71.33578569422836,6802321000.0,2447866000.0,538312000.0,11758656.0,4486486800.0,381.5475850301259,0.4063339563686112,-59.36660436313888,,
1711.T,ＳＤＳホールディングス,245.0,25.5600256,,4.759777,13.150946843058348,2877892000.0,4896732000.0,21488000.0,10432663.0,-2493471600.0,-239.00624413920013,-0.9755356903640822,-197.55356903640822,,
1719.T,安藤・間,1916.0,3005.87974656,10.101224,1.3932397,50.87189455141833,300735000000.0,202199000000.0,49544000000.0,156883072.0,112996899999.99997,720.2619030815509,0.3759195736333773,-62.40804263666227,,
1716.T,第一カッター興業,1400.0,157.48031488,9.84252,0.77864295,87.01217513627066,14403164000.0,2889484000.0,1314110000.0,11248594.0,12144608600.0,1079.6556974142725,0.7711826410101946,-22.881735898980537,,
1718.T,美樹工業,7170.0,77.03225856,4.9850516,0.4399832,50.233762221674304,21078346000.0,19350337000.0,1025378000.0,1074369.0,510739900.0,475.3859242029508,0.0663020814787937,-93.36979185212061,,
1720.T,東急建設,1170.0,1243.39642368,9.276144,1.1225251,36.24718110722569,253716000000.0,198175000000.0,28600000000.0,106273199.0,55743499999.99997,524.5301781119807,0.44831639154870145,-55.16836084512985,,
1721.T,コムシスホールディングス,5401.0,6199.49064192,17.451855,1.5668534,72.0248396260268,330883000000.0,158258000000.0,41577000000.0,114784131.0,185903100000.0,1619.5888611118205,0.2998683319962637,-70.01316680037361,,
1723.T,日本電技,2325.0,1481.7878016,17.543198,3.14691,76.68865284210871,35959000000.0,14243000000.0,17685000000.0,63732812.0,32671200000.0,512.6276242134114,0.22048499966168233,-77.95150003383176,,
1724.T,シンクレイヤ,717.0,32.11531264,9.871954,1.3031104,63.217922606924645,6063000000.0,3612000000.0,530000000.0,4479123.0,2460799999.9999995,549.3932629222282,0.7662388604215178,-23.376113957848222,,
1736.T,オーテック,2392.0,370.62488064,10.214365,1.3932216,68.89328835560575,22997694000.0,12229562000.0,8834905000.0,15494352.0,15729609299.999998,1015.1834229659942,0.4244077855209006,-57.55922144790995,,
1758.T,太洋基礎工業,2550.0,50.89805312,10.976712,0.52640444,76.31996074815078,8073551000.0,2946925000.0,2044528000.0,1996002.0,6263103100.0,3137.824060296533,1.2305192393319737,23.051923933197372,,
1766.T,東建コーポレーション,13760.0,1527.48802048,11.111111,1.312856,53.95120005935379,136486000000.0,99307000000.0,0.0,11100930.0,27248299999.999985,2454.5961464489897,0.17838634785239751,-82.16136521476025,投資有価証券,
